partido;localidad;codigo_postal_manual;nombre establecimiento;sede/axo/ext;ubicacion_manual;cue;nueva_existente;nombre establecimiento a considerar;siglas;tipo de gesti�n;programa escuelas sustentables;direccion_manual;cargo;nombre;apellido;telefono_manual;mail_manual;matricula_2021;latitud_manual;longitud_manual;observaciones;;
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ""CARLOS SAAVEDRA LAMAS""";SEDE;Urbano;607994;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ""CARLOS SAAVEDRA LAMAS""";EP 22;Pública;Escuela en Tránsito;Mariani e Italia;Director;Graciela;Passero;(0223)155180482;primaria22marchiquita@abc.gob.ar;106;-37.4498030000;-57.731746000;;;7174 - 607994 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA ESPECIAL Nº501 ""CAMILO FREIJE""";SEDE;Urbano;607988;Existente;"ESCUELA ESPECIAL Nº501 ""CAMILO FREIJE""";EE 501;Pública;No participa;H. Ruau y San Martin;"A cargo 
de 
Dirección";Victoria;Negro;(0223)155415963;especial501marchiquita@abc.gob.ar;53;-37.4518640000;-57.728342000;;Matricula: (más propuesta en inclusión);7174 - 607988 - SEDE
Mar Chiquita;Coronel Vidal;7174;JARDIN DE INFANTES Nº907;SEDE;Urbano;602186;Existente;JARDIN DE INFANTES Nº907;JI 907;Pública;No;Inocencio Mariani 425;Director;Cecilia;Turzo;(0223)5184234;jardin907marchiquita@abc.gob.ar;131;-37.4525880000;-57.730678000;;;7174 - 602186 - SEDE
Mar Chiquita;Coronel Vidal;7174;Centro Educativo de Nivel Secundario para Adultos N° 452 (Sede Vidal);SEDE;Urbano;CI19;Nueva;Centro Educativo de Nivel Secundario para Adultos N° 452 (Sede Vidal);CENS 452A;Pública;No;Zunzunegui y Francia - Vidal;Director;Eugenia;Palozzo;(0223)156030814;cens452marchiquita@abc.gob.ar;"105
54";-37.4580502783;-57.728321767;E10;;7174 - CI19 - SEDE
Mar Chiquita;Coronel Vidal;7174;Centro Educativo de Nivel Secundario para Adultos N° 451 (Sede Vidal);SEDE;Urbano;CI17;Nueva;Centro Educativo de Nivel Secundario para Adultos N° 451 (Sede Vidal);CENS 451A;Pública;No;;Director;Javier;Guaita Rivero;(0223)156881458;cens451marchiquita@abc.gob.ar;"32
43";-37.4579700015;-57.728046788;;;7174 - CI17 - SEDE
Mar Chiquita;Coronel Vidal;7174;ESCUELA DE EDUCACIÓN SECUNDARIA Nº2;SEDE;Rural Disperso;622410;Existente;ESCUELA DE EDUCACIÓN SECUNDARIA Nº2;ES 2;Pública;Escuela en Tránsito;Zunzuneguiy Francia;Director;Germán;Barros;(0223)155956978;secundaria2marchiquita@abc.gob.ar;351;-37.4580502783;-57.728321767;E10;En la frontera de lo rural y lo urbano.;7174 - 622410 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº27 ""JOSE MANUEL ESTRADA""";SEDE;Rural Disperso;602189;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº27 ""JOSE MANUEL ESTRADA""";EP 27;Pública;Escuela en Tránsito;Zunzunegui y Francia;Director;Diego A;Romero;(0223)155433999;primaria27marchiquita@abc.gob.ar;61;-37.4580502783;-57.728321767;E10;En la frontera de lo rural y lo urbano.;7174 - 602189 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ""ANTONIO CECILIO SAENZ""";SEDE;Rural Agrupado;611761;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ""ANTONIO CECILIO SAENZ""";EP 26;Pública;No;25 de Mayo s/ nº Bº Los Potreros;Director;Silvia;Luciano;(02265) 15407101;primaria26marchiquita@abc.gob.ar;31;-37.4620922226;-57.717683579;;En la frontera de lo rural y lo urbano.;7174 - 611761 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 ""NICANOR EZEYZA""";SEDE;Rural Disperso;607981;Existente;"ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 ""NICANOR EZEYZA""";ESA 1;Pública;Escuela en Tránsito;Ruta 55 km 135,200;Director;María Alicia;Lopez;(02268)15415466;agraria1marchiquita@abc.gob.ar;223;-37.4745880000;-57.777386000;;;7174 - 607981 - SEDE
Mar Chiquita;Calfucura;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº17 ""MANUEL BELGRANO""";SEDE;Rural Disperso;605280;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº17 ""MANUEL BELGRANO""";EP 17;Pública;No;Calle vecinal s/ nº;Director;Carolina;Olivera;(02267)15529034;primaria17marchiquita@abc.gob.ar;4;-37.4842199284;-57.436605528;;;7174 - 605280 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ""ARTURO Z. PAZ""";SEDE;Rural Disperso;605279;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ""ARTURO Z. PAZ""";EP 16;Pública;Escuela en Tránsito;Estancia Breland , ruta nº 55;Director;Natalia;Dalponte;(0223)154559105;primaria16marchiquita@abc.gob.ar;3;-37.5074126395;-57.996990552;E11;;7174 - 605279 - SEDE
Mar Chiquita;Coronel Vidal;7174;JARDIN DE INFANTES RURAL Nº9;SEDE;Rural Disperso;CI5;Nueva;JARDIN DE INFANTES RURAL Nº9;JIRIMM 9;Pública;No;EP Nº 16 Estancia Breland;MI a/c;Gilda;Arias;(02268)15639509;jardinrural9marchiquita@abc.gob.ar | giarias2@abc.gob.ar;;-37.5074126395;-57.996990552;E11;;7174 - CI5 - SEDE
Mar Chiquita;Coronel Vidal;7174;"ESCUELA DE EDUCACIÓN PRIMARIA Nº13 ""JOSE MENENDEZ""";SEDE;Rural Disperso;605277;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº13 ""JOSE MENENDEZ""";EP 13;Pública;Escuela en Tránsito;Estancia la Tehuelche;Director;Claudia M;Juárez;(02265)15407581;primaria13marchiquita@abc.gob.ar;;-37.5603659571;-57.848790376;E1;;7174 - 605277 - SEDE
Mar Chiquita;La Tehuelche;0;JARDIN DE INFANTES RURAL Nº7;SEDE;Rural Disperso;622890;Existente;JARDIN DE INFANTES RURAL Nº7;JIRIMM 7;Pública;Escuela en Tránsito;Estancia la Tehuelche;MI a/c;Julia;Audicana;(02265)15407024;jardinrural7marchiquita@abc.gob.ar;1;-37.5603659571;-57.848790376;E1;;0 - 622890 - SEDE
Mar Chiquita;Nahuel Ruca;7613;JARDIN DE INFANTES RURAL Nº2;SEDE;Rural Agrupado;620656;Existente;JARDIN DE INFANTES RURAL Nº2;JIRIMM 2;Pública;Escuela en Tránsito;EP Nº 9;MI a/c;Adriana;Damboriana;(02265)15425296;jardinrural2marchiquita@abc.gob.ar;5;-37.5820662845;-57.549008240;E12;En la frontera de lo rural y lo urbano.;7613 - 620656 - SEDE
Mar Chiquita;Nahuel Ruca;7613;"ESCUELA DE EDUCACIÓN PRIMARIA Nº9 ""ALMIRANTE BROWN""";SEDE;Rural Agrupado;605274;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº9 ""ALMIRANTE BROWN""";EP 9;Pública;Escuela en Tránsito;Nahuel Rucá;Director;Mariana;Vallesi;(0223)155176766;primaria9marchiquita@abc.gob.ar;5;-37.5820662845;-57.549008240;E12;Es rural dentro pero en el centro de un paraje;7613 - 605274 - SEDE
Mar Chiquita;Vivorata;7612;"ESCUELA DE EDUCACIÓN PRIMARIA Nº11 ""RICARDO ROJAS""";SEDE;Rural Disperso;605276;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº11 ""RICARDO ROJAS""";EP 11;Pública;Escuela en Tránsito;Ruta 2 km 359;Director;Gabriela;Reinoso;(0223)-154364606;primaria10marchiquita@abc.gob.ar;3;-37.5911482586;-57.688550522;;;7612 - 605276 - SEDE
Mar Chiquita;Nahuel Ruca;7613;JARDIN DE INFANTES RURAL Nº6;SEDE;Rural Disperso;622717;Existente;JARDIN DE INFANTES RURAL Nº6;JIRIMM 6;Pública;Escuela en Tránsito;Camino vecinal , a mts deRN 11, km 475;MI a/c;Cecilia;Becerra;(0223)154494498;jardinrural6marchiquita@abc.gob.ar;10;-37.6609305151;-57.436978111;E13;;7613 - 622717 - SEDE
Mar Chiquita;Nahuel Ruca;7613;"ESCUELA DE EDUCACIÓN PRIMARIA Nº18 ""JUAN MARTIN DE PUEYRREDON""";SEDE;Rural Disperso;602163;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº18 ""JUAN MARTIN DE PUEYRREDON""";EP 18;Pública;No;Camino vecinal , a mts deRN 11, km 476;Director;Laura;Urquiza;(011)1558281545;primaria18marchiquita@abc.gob.ar;11;-37.6609305151;-57.436978111;E13;;7613 - 602163 - SEDE
Mar Chiquita;Vivorata;7612;JARDIN DE INFANTES Nº903;SEDE;Urbano;605269;Existente;JARDIN DE INFANTES Nº903;JI 903;Pública;No;La Posta nº 49;Director;Susana;Aguinaga;(02268)15638586;jardin903marchiquita@abc.gob.ar;68;-37.6655970000;-57.665891000;;;7612 - 605269 - SEDE
Mar Chiquita;Vivorata;7612;Centro Educativo de Nivel Secundario para Adultos N° 451 (Sede Vivoratá);SEDE;Urbano;CI18;Nueva;Centro Educativo de Nivel Secundario para Adultos N° 451 (Sede Vivoratá);CENS 451B;Pública;No;Av. de los Campamentos (Belgrano) 64, Vivorata, Prov;Director;Javier;Guaita Rivero;(0223)156881459;cens451marchiquita@abc.gob.ar;;-37.6657365999;-57.666025731;E17;;7612 - CI18 - SEDE
Mar Chiquita;Vivorata;7612;ESC. SECUNDARIA Nº4;SEDE;Urbano;620474;Existente;ESC. SECUNDARIA Nº4;ES 4;Pública;No;Belgrano 64;Director;Nora;Verneri;(0223)156893281;secundaria4marchiquita@abc.gob.ar;110;-37.6657365999;-57.666025731;E17;;7612 - 620474 - SEDE
Mar Chiquita;Vivorata;7612;"ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ""BERNARDINO RIVADAVIA""";SEDE;Rural Agrupado;605275;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ""BERNARDINO RIVADAVIA""";EP 10;Pública;No;Belgrano 64;Director;Gabriela;Reinoso;(0223)-154364606;primaria10marchiquita@abc.gob.ar;125;-37.6657365999;-57.666025731;E17;En la frontera de lo rural y lo urbano.;7612 - 605275 - SEDE
Mar Chiquita;Vivorata;7612;"ESCUELA DE EDUCACIÓN PRIMARIA Nº20 ""JORGE OSTER""";SEDE;Rural Disperso;607968;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº20 ""JORGE OSTER""";EP 20;Pública;Escuela en Tránsito;Pje. El Espinillo Camino Real s/ nº;Director;Mercedes;Asensio;(02265)15418061;primaria20marchiquita@abc.gob.ar;3;-37.7068040000;-57.539481000;;;7612 - 607968 - SEDE
Mar Chiquita;Mar Chiquita;7109;"ESCUELA DE EDUCACIÓN PRIMARIA Nº12 ""BRIGADIER GENERAL MANUEL HORNOS""";SEDE;Rural Disperso;602162;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº12 ""BRIGADIER GENERAL MANUEL HORNOS""";EP 12;Pública;Escuela en Tránsito;Av. de las Letras y C. Vigil;Director;María Florencia;Capornio;(0223)156329727;primaria12marchiquita@abc.gob.ar;120;-37.7213163247;-57.444718923;E4;;7109 - 602162 - SEDE
Mar Chiquita;Mar Chiquita;7109;ESCUELA DE EDUCACIÓN SECUNDARIA N°7;SEDE;Rural Disperso;CI6;Nueva;ESCUELA DE EDUCACIÓN SECUNDARIA N°7;ES 7;Pública;No;Pasando el peaje, por ruta 11;Director;Marcela ;Sánchez;223-4545965;secundaria7marchiquita@abc.gob.ar;;-37.7213163247;-57.444718923;E4;;7109 - CI6 - SEDE
Mar Chiquita;Mar Chiquita;7109;JARDIN DE INFANTES Nº905;SEDE;Urbano;602161;Existente;JARDIN DE INFANTES Nº905;JI 905;Pública;Escuela en Tránsito;San Martin s/ nº;Director;Mariela Viviana;Finocchio;(02268)15638164;jardin905marchiquita@abc.gob.ar;20;-37.7450765901;-57.426320870;;(Más propuesta inclusión y domiciliaria, hospitalaria);7109 - 602161 - SEDE
Mar Chiquita;Mar de Cobo;7600;"ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ""ESTEBAN ECHEVERRIA""";SEDE;Urbano;602164;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ""ESTEBAN ECHEVERRIA""";EP 21;Pública;No;Av. del Temple s/ nº;Director;Nancy;Andorno;(0223)156017904;primaria21marchiquita@abc.gob.ar;195;-37.7730630000;-57.453491000;;;7600 - 602164 - SEDE
Mar Chiquita;Mar de Cobo;7600;ESC. SECUNDARIA Nº5;SEDE;Urbano;620431;Existente;ESC. SECUNDARIA Nº5;ES 5;Pública;Escuela en Tránsito;Del Temple s/ nº;Director;Daniel;Todarello;(011)1553252498;secundaria5marchiquita@abc.gob.ar;276;-37.7731070000;-57.453123000;;;7600 - 620431 - SEDE
Mar Chiquita;Mar de Cobo;7600;JARDIN DE INFANTES Nº906;SEDE;Urbano;607967;Existente;JARDIN DE INFANTES Nº906;JI 906;Pública;Escuela en Tránsito;Av. Manuel Cobo nº 856;Director;Suarez;Sonia;(0223)153046157;jardin906marchiquita@abc.gob.ar;132;-37.7731830000;-57.453042000;;;7600 - 607967 - SEDE
Mar Chiquita;Mar De Cobo;7600;"ESCUELA DE EDUCACIÓN PRIMARIA Nº2 ""HECTOR COBO""";SEDE;Rural Disperso;605270;Existente;"ESCUELA DE EDUCACIÓN PRIMARIA Nº2 ""HECTOR COBO""";EP 2;Pública;No;Ruta 2 km 383;Director;Valeria;Gondra;(0223)156878631;primaria2marchiquita@abc.gob.ar;101;-37.8042838304;-57.627119598;;;7600 - 605270 - SEDE
Mar Chiquita;Mar de Cobo;7600;ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº4;ANEXO;Rural Disperso;620474;Existente;ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº4;ANEXO ES 4;Pública;No;Ruta 2 km 383;Director;Nora;Verneri;(0223)156893281;secundaria4marchiquita@abc.gob.ar;;-37.8051506866;-57.627147919;;;7600 - 620474 - ANEXO
